Valuation_Year,Book_Value,Total_Assets,Total_Liabilities,Total_Revenues,Working_Capital,Retained_Earnings,EBIT,Equity_Value
2016,5922.35561,40955.235,35032.87939,38740.72045,1481.181475,2176.600495,4072.8611,2839.857584
2011,26540.23976,50977.33391,24437.09416,38562.7136,5573.381785,14533.76758,4889.713415,38111.29965
2011,27824.81074,54394.49249,26569.68175,31868.77532,6227.588391,15293.57365,5076.60418,38196.9894
2007,33695.19325,78028.37503,44333.18178,99027.23789,13704.08534,11320.72888,6912.656636,43468.38049
2007,30884.4608,71723.15243,40838.69163,82472.58736,8544.84457,13302.92255,-2127.693005,47037.04442
2015,15859.58714,48262.59553,32403.00839,27607.63411,1715.734905,9518.760377,4453.631553,14255.98551
2011,16592.15456,59005.32158,42413.16702,45990.09583,7588.663481,5208.841863,3398.115462,13684.85581
2009,68663.19621,267404.3527,198741.1565,198570.1236,-6455.193755,43839.73561,9467.897606,86368.84463
2009,27570.29646,51531.53422,23961.23776,24736.74704,3746.106805,17133.53924,5515.92882,39501.08685
2008,47365.25228,132769.4895,85404.23722,125426.5087,16003.32521,18095.42579,8268.799716,54077.791
2015,54475.27425,208852.2735,154376.9992,102392.6634,2078.160961,32769.66478,-18915.70796,80329.03915
2011,37521.12599,102863.4777,65342.35169,113846.054,16275.08165,13092.67112,10981.46149,35933.25641
2016,57172.10598,199781.8128,142609.7068,110658.2978,-2597.486132,31661.17289,-5699.953391,92107.12458
2010,50781.33591,162139.9813,111358.6454,115471.2321,9606.127356,24809.37646,-4426.202439,66290.30125
2014,27263.98275,58177.34309,30913.36034,80964.33803,8465.686357,9398.620503,5242.057476,42135.54365
2011,28154.7901,61428.02918,33273.23908,49994.04408,11913.55638,10818.64381,4006.996423,35115.2993
2007,72522.22306,253123.2449,180601.0219,223791.9759,-4606.715371,41130.10882,8210.426789,106424.2595
2009,27509.44089,63182.2219,35672.78101,76133.15102,10883.56439,11564.15262,5921.170112,31140.56849
2011,41247.92492,104609.8684,63361.94348,116253.0769,16086.45786,14262.88367,9740.912241,48433.50303
2014,39752.40588,132890.8343,93138.42839,79667.01267,12332.17265,23698.10941,14183.53028,12375.09258
2015,9010.471377,48469.07893,39458.60755,48431.98741,3849.614102,3205.557745,5169.349227,2111.788198
2016,90018.72864,227343.345,137324.6164,162230.0758,16691.43439,47719.71715,20532.73537,102541.5301
2013,99002.09148,258952.8774,159950.7859,213117.3303,26597.38711,62028.38803,17976.99255,75753.39737
2008,85788.23267,173556.9028,87768.67012,101301.9366,21240.884,47025.8749,11844.27019,112999.3495
2014,422833.0218,687241.9172,264408.8954,375918.2063,11758.55929,265648.9065,66358.77294,767324.742
2008,7850.752224,14189.69344,6338.941216,11737.15265,1150.530564,3665.343333,-521.3024991,14777.01755
2016,9002.264387,20134.71411,11132.44972,17392.6477,2873.201047,5011.901788,730.8117251,9920.703073
2011,139400.3074,389226.1515,249825.844,191635.3593,-923.59188,81172.11451,33852.6404,178725.0806
2016,82128.45326,207178.923,125050.4697,265902.5448,33770.47384,44187.68269,21725.47916,57672.56768
2015,41925.98462,88768.36374,46842.37912,91889.43592,15489.71593,19899.44188,8015.103274,49533.55964
2012,7087.869679,12963.69447,5875.824788,9852.055932,916.9043658,3409.798155,-613.1589865,13529.12342
2010,9376.830113,21928.70996,12551.87985,18868.02121,3255.96521,5325.365417,993.7697055,8941.363586
2015,29400.92229,56062.43189,26661.5096,37399.46445,4522.485986,18771.991,2209.313667,42147.25431
2012,64301.60549,155204.5929,90902.98739,145420.0702,24992.23327,30495.93477,13615.62203,61353.35857
2011,68354.75757,169818.9333,101464.1757,189818.2355,28065.39208,33940.32805,16497.99254,55921.87137
2013,51550.55898,104882.2866,53331.72764,65315.67361,8283.165925,34052.98121,5132.542129,65402.96528
2016,122815.078,331174.6717,208359.5938,181759.3411,4992.566735,69936.83811,29379.03533,153745.1164
2013,33506.52015,77679.14445,44172.6243,83400.29159,13038.01101,15086.10368,5843.641559,36595.46078
2013,136189.766,371983.1196,235793.3535,179988.7947,5525.31389,83730.963,27740.86988,157761.1603
2014,39165.85504,76808.25368,37642.39864,49706.65977,6180.4268,25508.79864,3498.053963,52959.24868
2012,287878.5236,579069.2295,291190.7059,276892.2187,13838.82227,185376.2294,42899.59358,419570.4575
2008,69305.9592,181845.9671,112540.0079,252148.9435,30988.42229,36671.25263,19783.39497,41125.40047
2011,132436.1397,249254.8984,116818.7587,164657.347,33867.94857,71478.16628,19358.0659,188651.4969
2011,142493.9087,399220.3638,256726.4551,191443.2337,-918.8125965,84257.01387,33590.88209,179851.4506
2016,9583.866752,22992.33671,13408.46995,19683.51593,3467.533434,5498.628616,1139.116523,8187.850744
2010,143230.5145,279205.3329,135974.8184,244600.1029,17386.51671,74306.40237,33724.07158,225558.8772
2013,15460.24001,37432.77223,21972.53221,35513.71777,5905.592661,7914.829778,2365.577731,14213.04267
2016,7050.754896,12656.78011,5606.025218,9502.554965,779.8555323,3309.221553,-719.7739793,13900.89237
2013,188830.7276,437633.4672,248802.7396,203519.7305,17641.33648,124033.2808,25904.4751,223651.0931
2011,107294.9754,191788.5498,84493.57436,121997.3758,25613.65877,58507.76069,14407.47065,163656.6571
2010,61451.27451,153522.2951,92071.02054,113707.3082,16841.74244,35149.55052,9159.538539,58335.03664
2012,67506.9851,166214.5943,98707.60924,177291.1427,27285.14841,33099.86662,15732.23836,57899.15675
2007,459711.4563,756676.0028,296964.5464,405962.4943,5614.720289,290910.5643,73634.66746,830480.8637
2010,101040.6879,228216.4501,127175.7622,238432.1895,34386.47045,54730.2094,21434.97359,100354.171
2010,145798.6447,269982.393,124183.7483,167120.6965,34123.71379,81559.49058,19970.05814,211734.4584
2013,129868.5156,240403.4795,110534.9639,148454.1945,31505.40949,71041.15357,18024.94301,189491.3854
2011,135744.1343,370109.3942,234365.2599,179179.0951,5980.840944,83693.77714,27327.34,156310.3695
2016,364787.6003,665521.4488,300733.8485,333864.8172,10886.22899,233008.0771,56096.03937,592722.8908
2016,139159.8219,388355.0066,249195.1847,191492.1573,-837.8076857,81009.2032,33787.77321,178280.7147
2010,83014.35233,204404.4456,121390.0933,149573.3539,23813.19483,47101.18596,14070.66415,77777.77008
2015,29453.0954,72124.59471,42671.49931,73101.25585,11658.73569,13631.56846,5243.465151,28833.13556
2015,8877.221222,19570.14979,10692.92857,16900.11633,2745.420957,4907.256645,643.027137,10133.42811
2009,91806.43292,233229.8328,141423.3999,133907.1276,18537.36306,58974.68206,11797.84294,84212.30254
2008,135287.4929,374449.9882,239162.4953,189186.2988,543.5004599,78385.98435,32743.2733,172594.2401
2011,109538.8061,222891.6841,113352.8781,158832.5992,30984.16702,57669.15037,17497.52807,140658.4199
2007,135801.6227,380167.7894,244366.1667,204376.3416,1700.459679,79063.78009,33546.87235,168528.23
2013,108202.4256,193405.8352,85203.40957,123018.403,25838.80991,59007.27045,14544.56428,165065.5159
2007,94980.23706,241230.1141,146249.877,121811.9746,16216.73511,64111.59539,11238.77596,86171.17374
2008,95134.5699,249361.2413,154226.6714,223157.6911,27679.34221,58553.18268,18582.17042,70292.31658
2012,102854.0693,262911.1544,160057.0852,141258.7697,19154.47728,67645.74172,12758.0431,93162.27749
2015,108783.9104,297239.348,188455.4376,236402.9794,15670.9591,61826.46446,28408.74578,112893.7318
2011,132481.94,356592.5162,224110.5763,173251.7855,9315.472432,83421.56246,24300.14385,144973.415
2013,101941.226,206418.8758,104477.6498,138893.0736,27242.58198,54113.94518,14931.62256,134019.5702
2012,76173.62283,199498.1513,123324.5285,274552.0414,33576.5171,40868.19348,21816.94965,44943.51306
2014,124230.4331,323898.2632,199667.8301,158259.0438,17750.20448,82733.01326,16643.04935,116553.8614
2015,38086.68192,93926.2913,55839.60938,96292.75275,15208.42277,17158.79408,7019.120611,37552.11312
2015,253848.5494,534889.0759,281040.5265,251683.5419,15145.2568,164300.5564,37060.55963,348721.0598
2015,28907.90863,63786.27113,34878.3625,70555.19035,10907.2658,13039.01469,4702.771203,34169.52794
2012,133181.2312,359460.8134,226279.5822,174522.3768,8600.65341,83479.915,24949.06035,147178.9842
2007,70894.80778,173311.6532,102416.8454,180332.144,18876.52413,32869.3785,19831.90011,81625.12621
2008,37590.56011,92133.64251,54543.0824,53244.10394,7669.905948,24725.05016,4465.548256,34876.27491
2012,146978.7398,308964.9006,161986.1608,179367.2034,20119.07014,82648.39924,26623.93409,204810.6626
2010,45485.66656,111615.2767,66129.61011,110716.7489,17995.90562,20854.24221,8849.351567,44152.56035
2006,110942.1349,288311.8788,177369.7439,182120.129,23257.11075,72757.24938,16108.65134,92733.81753
2013,66175.22161,160680.78,94505.55836,157612.3665,26059.46573,31779.58803,14529.3172,60971.00868
2014,123910.4233,343172.7179,219262.2946,218472.0997,7849.240602,71477.18821,31285.44893,143968.0895
2014,34027.82108,69220.67749,35192.85641,78096.46311,10627.628,18255.80572,6508.626024,41445.7324
2012,34456.75192,67218.93903,32762.18711,88608.03522,13340.01191,17649.14525,6195.256204,42307.63314
2015,14096.31003,23712.88551,9616.575486,33296.21644,6808.209012,5518.183608,4013.746139,20889.7752
2015,41207.77067,103898.5256,62690.75497,144397.7874,19779.99567,17140.59334,10411.78293,35400.61865
2013,28987.81926,62797.31024,33809.49098,66664.0776,13930.53942,11265.88067,8524.75095,30640.57027
2014,40410.57643,68852.33735,28441.76092,118106.316,21811.7325,20641.57832,5886.20483,52121.2878
2015,35628.55898,62502.91019,26874.35121,117324.8664,20750.0425,15991.79406,5339.153224,45376.46048
2012,32161.54715,54392.40936,22230.86221,108822.0972,19500.7608,14183.55205,4686.049597,42917.28237
2013,48893.33527,102335.2085,53441.87324,139993.6188,21455.37,26076.26351,9732.065367,47916.1865
2006,32938.89364,72707.59507,39768.70144,59371.2554,6283.521802,18755.21472,7218.905629,39997.27546
2016,29801.41559,65171.55802,35370.14243,67399.31664,13557.52425,12091.16252,8601.474071,31604.43113
2009,51829.72535,88379.19465,36549.46931,98135.84281,18873.66055,33885.91588,7950.505412,66198.74011
2011,33062.74834,73007.98477,39945.23643,59054.34063,5996.374165,19018.28404,7164.327525,40260.35351
2013,22860.85657,42678.28233,19817.42577,40951.63643,3965.26367,13288.17617,4811.639116,33461.13986
2015,47372.75335,85452.23654,38079.48319,88664.97414,15692.82185,30409.34717,7744.104045,57799.66377
2012,162718.0772,374143.1691,211425.0919,246860.9308,58938.8528,99688.74906,51728.9618,110403.3308
2010,34074.2812,70204.41147,36130.13026,75019.47984,15662.14148,15842.9207,8647.604748,35648.64623
2007,182465.2476,380568.5873,198103.3397,226323.59,47303.3605,110912.0044,46369.38075,193875.4579
2016,49864.81583,87129.24057,37264.42474,93960.49687,17471.34969,32353.22891,7859.510896,62361.68236
